# x(kpc) y(kpc) z(kpc)
-9.471537 6.472654 0.059859 
0.571610 -4.796083 0.037395 
4.758881 -4.718438 1.544241 
6.125075 -3.310254 -0.412261 
-4.198983 -0.724070 0.637696 
4.653886 0.358062 0.411587 
0.794635 -3.910866 -0.165299 
3.601447 10.175427 -0.543478 
2.398319 -0.175117 -0.146215 
-10.944871 0.598955 0.068543 
2.352243 -1.861697 1.104748 
-5.710206 13.445026 -0.082583 
7.277560 -14.047166 0.661015 
10.392940 -1.452946 -0.664794 
8.202242 3.663253 0.212667 
-1.652105 2.944445 0.174661 
-10.643836 1.214912 -0.053403 
-1.703646 4.604152 0.603915 
-11.118618 -0.251504 -1.384417 
3.942309 -4.574317 -0.452932 
-2.439028 -0.508436 -0.096447 
6.722758 1.562045 -0.008710 
5.691597 -4.311064 0.153511 
1.748052 3.599731 -1.067123 
-8.471796 3.007542 0.155587 
-3.880893 2.688314 1.331192 
-13.150570 -1.340672 -0.462931 
0.917605 -2.208983 0.376052 
-4.250016 0.719250 0.074530 
3.966439 -9.369445 -0.093628 
2.953430 6.236065 -0.641834 
2.838073 5.597932 0.409733 
-0.188178 -1.695369 -0.076309 
-7.324911 4.762877 0.607786 
-4.721124 -2.126935 0.701465 
11.733444 16.949853 -0.656903 
-8.489769 7.874674 -0.116492 
13.783407 -10.907141 -0.131600 
0.323479 -0.817331 -0.217696 
-2.250216 8.050806 0.109429 
6.741400 -0.099676 -0.048722 
-0.406457 2.360197 0.290029 
-6.322896 9.063741 0.132835 
-3.693013 16.678005 -0.491666 
-1.604324 1.471218 -0.092111 
6.001004 -1.487622 -0.127350 
1.030448 -1.849209 -0.202020 
5.212123 2.157881 0.529646 
0.656498 -2.183240 0.241970 
3.043853 -3.876444 -0.195606 
2.587650 2.521171 0.062958 
-2.775871 -0.341862 0.216745 
0.062124 -2.328844 0.263570 
2.873906 -1.454206 0.115852 
3.903161 -6.745407 -0.218015 
1.387881 6.000829 0.597818 
0.624949 -4.620466 -0.411811 
0.855304 -8.458308 0.190576 
-2.885935 11.843979 0.662086 
4.628092 8.083252 -0.391178 
4.551661 -1.465622 2.230304 
-1.439115 2.255704 0.218059 
-1.967443 6.504775 0.005868 
2.514047 -2.927745 -0.220606 
0.916690 1.601417 -1.450868 
0.696552 -3.424020 0.679477 
-5.606696 -15.080013 0.704111 
0.280731 -1.525742 0.043111 
5.863754 5.209469 -0.789022 
-0.044067 -15.667380 0.496414 
19.483565 -2.992874 -0.385657 
-3.996633 -7.480502 -0.077902 
-20.442795 -9.807219 -0.818496 
-3.518592 7.084532 -0.578876 
-6.863834 2.088539 -0.273444 
1.228596 -5.853160 0.674331 
0.420148 0.966696 1.850612 
-18.965593 -2.856538 -2.031169 
7.920126 -7.175918 -0.485460 
-1.349744 0.976460 0.055094 
-4.731424 1.142775 0.744397 
-0.863150 3.479637 -0.212153 
0.018564 1.354829 0.569849 
-4.016188 -1.750588 0.233714 
4.629833 1.816859 0.282134 
3.604186 -12.414894 0.541523 
0.007599 -2.621072 -0.338113 
8.447934 -5.145017 0.629266 
1.179882 -4.173930 0.488358 
3.079206 -0.668286 0.281999 
8.547907 7.491980 0.335653 
-3.049443 12.972883 0.313904 
13.068433 -1.284881 0.746905 
6.542858 -3.963799 0.467823 
-4.097876 -0.531838 -0.014840 
2.723847 -0.611650 -0.437261 
-1.546374 -3.636713 1.096696 
2.570780 1.125588 -0.479621 
10.596714 3.567283 0.486350 
-10.571006 -7.606971 -0.168003 
4.235906 4.168330 0.321241 
1.738674 0.596495 -0.023201 
-10.106368 -1.202188 -0.190736 
1.576470 -2.698522 0.251012 
2.694676 -2.115195 0.502248 
-2.722030 -4.737582 0.955418 
8.030550 -4.821572 -0.985990 
-0.297255 0.063208 0.649626 
-3.495344 3.127954 -0.165022 
-14.486456 4.212579 0.734899 
7.736487 3.335686 -1.113761 
1.686349 6.020080 1.264308 
7.741640 -9.241548 0.506459 
